Date,Mode,Line_or_Route,Borough_or_Region,Daily_Ridership,Recovery_Percentage,Incident_Type,Delay_Minutes,Peak_Period
2026-02-03,Bus,Q10,Westchester,1362725,70.4,Weather,18,PM Peak
2026-02-03,LIRR,Long Beach,Bronx,273789,77.7,Track Work,24,Evening
2026-02-03,LIRR,Ronkonkoma,Staten Island,277618,72.7,Weather,25,PM Peak
2026-02-03,Metro-North,New Haven,Bronx,266038,75.2,Police Activity,8,Midday
2026-02-03,Metro-North,Hudson,Staten Island,255674,74.8,Weather,11,PM Peak
2026-02-04,Subway,6,Manhattan,3913906,67.1,Weather,27,PM Peak
2026-02-04,Subway,Q,Brooklyn,3655737,75.3,Mechanical Issue,13,Midday
2026-02-04,Subway,1,Brooklyn,3904277,70.0,Signal Problem,10,Evening
2026-02-04,Bus,Q10,Manhattan,1404603,79.2,Track Work,43,Midday
2026-02-04,Bus,S79,Long Island,1286163,78.4,Track Work,51,Midday
2026-02-04,LIRR,Port Washington,Brooklyn,278455,77.6,Track Work,13,PM Peak
2026-02-04,LIRR,Babylon,Staten Island,269299,68.9,Police Activity,9,Midday
2026-02-04,LIRR,Port Washington,Manhattan,253670,81.3,Staffing,9,Evening
2026-02-04,Metro-North,Hudson,Long Island,193601,73.1,Signal Problem,51,PM Peak
2026-02-04,Metro-North,New Haven,Bronx,217249,84.4,No Incident,0,AM Peak
2026-02-04,Metro-North,New Haven,Staten Island,235848,77.3,Mechanical Issue,37,Midday
2026-02-04,Metro-North,New Haven,Long Island,217059,71.2,Signal Problem,31,PM Peak
2026-02-05,Subway,5,Manhattan,3413971,69.3,Track Work,40,PM Peak
2026-02-05,Subway,L,Westchester,3947813,76.4,No Incident,0,PM Peak
2026-02-05,Subway,1,Staten Island,3786379,76.0,Track Work,12,PM Peak
2026-02-05,Bus,M15,Long Island,1387215,81.1,Police Activity,10,AM Peak
2026-02-05,Bus,B46,Manhattan,1479708,79.0,Track Work,4,PM Peak
2026-02-05,Bus,Q10,Westchester,1527612,76.3,Signal Problem,13,Evening
2026-02-05,LIRR,Babylon,Westchester,268588,79.1,No Incident,0,AM Peak
2026-02-05,LIRR,Port Washington,Staten Island,249637,78.8,Mechanical Issue,14,AM Peak
2026-02-05,Metro-North,Harlem,Queens,248858,73.4,Staffing,20,PM Peak
2026-02-05,Metro-North,Harlem,Queens,216050,88.8,No Incident,0,Evening
2026-02-05,Metro-North,Harlem,Manhattan,233042,82.9,Crowding,6,PM Peak
2026-02-06,Subway,Q,Staten Island,3893753,81.5,Weather,10,PM Peak
2026-02-06,Subway,4,Staten Island,3688311,73.8,Track Work,6,AM Peak
2026-02-06,Subway,A,Long Island,3527262,76.9,Track Work,29,Midday
2026-02-06,Bus,S79,Westchester,1391931,73.5,No Incident,0,AM Peak
2026-02-06,Bus,Q60,Staten Island,1383143,66.9,Weather,15,PM Peak
2026-02-06,Bus,Q60,Queens,1329888,81.4,No Incident,0,Midday
2026-02-06,LIRR,Babylon,Manhattan,241639,77.4,No Incident,0,Midday
2026-02-06,LIRR,Hempstead,Long Island,239846,74.7,Mechanical Issue,15,PM Peak
2026-02-06,LIRR,Port Washington,Staten Island,251881,79.9,No Incident,0,Midday
2026-02-06,LIRR,Long Beach,Westchester,288601,80.4,No Incident,0,AM Peak
2026-02-06,Metro-North,New Haven,Brooklyn,210816,72.1,Mechanical Issue,45,AM Peak
2026-02-06,Metro-North,Harlem,Bronx,225293,69.3,Mechanical Issue,21,AM Peak
2026-02-06,Metro-North,New Haven,Westchester,249564,72.4,Weather,14,PM Peak
2026-02-07,Subway,1,Manhattan,2237448,70.9,Signal Problem,15,PM Peak
2026-02-07,Subway,3,Queens,2586876,74.8,Crowding,8,AM Peak
2026-02-07,Bus,B46,Bronx,727937,79.2,No Incident,0,PM Peak
2026-02-07,Bus,S79,Staten Island,1048003,72.6,No Incident,0,AM Peak
2026-02-07,LIRR,Babylon,Brooklyn,148436,77.1,No Incident,0,PM Peak
2026-02-07,LIRR,Babylon,Manhattan,176664,72.9,Police Activity,30,AM Peak
2026-02-07,LIRR,Babylon,Bronx,162178,77.1,Mechanical Issue,8,Midday
2026-02-07,Metro-North,Hudson,Long Island,168673,78.8,Crowding,4,PM Peak
2026-02-07,Metro-North,Hudson,Bronx,109219,81.3,Signal Problem,3,PM Peak
2026-02-07,Metro-North,Harlem,Queens,172199,83.2,Signal Problem,11,AM Peak
2026-02-07,Metro-North,Hudson,Long Island,185340,76.5,Signal Problem,6,AM Peak
2026-02-08,Subway,Q,Brooklyn,2356059,77.7,Signal Problem,11,Midday
2026-02-08,Subway,3,Westchester,2075607,82.0,Track Work,7,PM Peak
2026-02-08,Bus,Bx12,Brooklyn,804072,87.1,Crowding,20,PM Peak
2026-02-08,Bus,Q60,Bronx,905931,75.4,No Incident,0,AM Peak
2026-02-08,Bus,M15,Long Island,801575,73.4,Staffing,6,Evening
2026-02-08,LIRR,Hempstead,Long Island,130000,77.6,No Incident,0,PM Peak
2026-02-08,LIRR,Port Washington,Westchester,117416,81.6,No Incident,0,PM Peak
2026-02-08,LIRR,Long Beach,Long Island,171000,82.9,Signal Problem,30,Midday
2026-02-08,Metro-North,Harlem,Queens,105054,70.5,Weather,3,Evening
2026-02-08,Metro-North,Hudson,Long Island,130785,82.3,Track Work,18,Midday
2026-02-08,Metro-North,Hudson,Manhattan,157736,71.6,Track Work,17,Midday
2026-02-08,Metro-North,Harlem,Brooklyn,142246,72.7,Signal Problem,19,PM Peak
2026-02-09,Subway,A,Staten Island,4037625,76.0,No Incident,0,Midday
2026-02-09,Subway,L,Long Island,3280138,80.6,Crowding,3,PM Peak
2026-02-09,Bus,B44,Brooklyn,1345523,81.6,No Incident,0,AM Peak
2026-02-09,Bus,S79,Westchester,1479622,67.8,Police Activity,31,PM Peak
2026-02-09,Bus,Q10,Queens,1264783,80.9,No Incident,0,PM Peak
2026-02-09,LIRR,Ronkonkoma,Manhattan,270014,73.2,Track Work,36,AM Peak
2026-02-09,LIRR,Babylon,Brooklyn,274608,70.8,Mechanical Issue,19,AM Peak
2026-02-09,LIRR,Babylon,Queens,260195,76.2,No Incident,0,PM Peak
2026-02-09,LIRR,Ronkonkoma,Manhattan,238319,87.7,No Incident,0,PM Peak
2026-02-09,Metro-North,Harlem,Staten Island,218519,77.7,Crowding,42,Evening
2026-02-09,Metro-North,Hudson,Brooklyn,210024,70.0,Track Work,7,Evening
2026-02-10,Subway,E,Staten Island,4373653,75.8,Signal Problem,41,PM Peak
2026-02-10,Subway,1,Queens,3556769,77.7,Staffing,23,Midday
2026-02-10,Bus,Bx12,Manhattan,1473737,79.4,Crowding,16,PM Peak
2026-02-10,Bus,B44,Manhattan,1442092,75.9,No Incident,0,PM Peak
2026-02-10,Bus,Q60,Brooklyn,1328787,73.0,Signal Problem,18,Midday
2026-02-10,LIRR,Ronkonkoma,Long Island,260974,81.9,Weather,26,Evening
2026-02-10,LIRR,Long Beach,Westchester,242936,75.5,Signal Problem,18,PM Peak
2026-02-10,LIRR,Babylon,Staten Island,260881,74.1,Signal Problem,25,PM Peak
2026-02-10,Metro-North,Harlem,Manhattan,227086,79.7,Signal Problem,13,PM Peak
2026-02-10,Metro-North,Hudson,Staten Island,227804,75.3,Staffing,3,AM Peak
2026-02-11,Subway,5,Queens,3264006,72.5,Crowding,42,PM Peak
2026-02-11,Subway,E,Westchester,4056800,67.6,Weather,20,Evening
2026-02-11,Bus,Q60,Staten Island,1569496,79.5,Mechanical Issue,7,AM Peak
2026-02-11,Bus,B46,Manhattan,1557195,74.6,Track Work,25,PM Peak
2026-02-11,Bus,S79,Brooklyn,1316815,80.8,No Incident,0,Midday
2026-02-11,Bus,Q10,Long Island,1544460,80.2,No Incident,0,PM Peak
2026-02-11,LIRR,Hempstead,Staten Island,269237,84.1,No Incident,0,PM Peak
2026-02-11,LIRR,Port Washington,Long Island,218483,84.1,Crowding,6,PM Peak
2026-02-11,LIRR,Port Washington,Bronx,232823,79.4,Mechanical Issue,8,AM Peak
2026-02-11,Metro-North,New Haven,Westchester,220898,70.5,Track Work,28,PM Peak
2026-02-11,Metro-North,Harlem,Manhattan,217725,74.3,Mechanical Issue,15,Midday
2026-02-11,Metro-North,New Haven,Manhattan,213490,71.1,Staffing,16,AM Peak
2026-02-12,Subway,A,Queens,3307310,72.5,No Incident,0,PM Peak
2026-02-12,Subway,R,Westchester,3704604,76.5,No Incident,0,PM Peak
2026-02-12,Subway,E,Bronx,3668846,86.0,Mechanical Issue,18,PM Peak
2026-02-12,Subway,F,Bronx,3703965,84.3,Crowding,9,Midday
2026-02-12,Bus,B44,Staten Island,1368520,76.1,Mechanical Issue,14,Evening
2026-02-12,Bus,Q60,Brooklyn,1483526,72.3,No Incident,0,Midday
2026-02-12,Bus,Bx12,Staten Island,1535078,82.4,No Incident,0,PM Peak
2026-02-12,LIRR,Hempstead,Long Island,201345,80.4,No Incident,0,PM Peak
2026-02-12,LIRR,Ronkonkoma,Bronx,259435,72.2,Signal Problem,18,PM Peak
2026-02-12,LIRR,Port Washington,Long Island,319146,74.7,Weather,60,AM Peak
2026-02-12,Metro-North,New Haven,Westchester,245014,73.2,Mechanical Issue,19,PM Peak
2026-02-12,Metro-North,Hudson,Long Island,215967,77.4,Mechanical Issue,5,Evening
2026-02-12,Metro-North,Hudson,Staten Island,232263,72.8,Mechanical Issue,38,Evening
2026-02-12,Metro-North,Harlem,Staten Island,239250,79.7,Track Work,5,Midday
2026-02-13,Subway,Q,Queens,3509328,73.3,No Incident,0,PM Peak
2026-02-13,Subway,E,Staten Island,3200717,78.5,Staffing,15,AM Peak
2026-02-13,Subway,6,Queens,3148073,65.3,Staffing,23,PM Peak
2026-02-13,Subway,A,Queens,3916106,73.1,Track Work,20,PM Peak
2026-02-13,Bus,Q10,Manhattan,1472709,75.7,Mechanical Issue,17,AM Peak
2026-02-13,Bus,M15,Westchester,1509125,71.5,No Incident,0,AM Peak
2026-02-13,LIRR,Ronkonkoma,Manhattan,281878,81.9,Signal Problem,11,PM Peak
2026-02-13,LIRR,Hempstead,Staten Island,262432,82.5,Mechanical Issue,11,PM Peak
2026-02-13,Metro-North,New Haven,Long Island,257846,72.7,Signal Problem,13,Evening
2026-02-13,Metro-North,New Haven,Manhattan,251965,77.4,Signal Problem,21,Midday
2026-02-14,Subway,L,Westchester,2068954,74.2,Crowding,21,Evening
2026-02-14,Subway,F,Staten Island,2428275,79.0,No Incident,0,AM Peak
2026-02-14,Subway,N,Westchester,2276163,82.4,No Incident,0,PM Peak
2026-02-14,Subway,N,Westchester,1810013,80.3,Weather,12,AM Peak
2026-02-14,Bus,Q10,Queens,980684,81.0,No Incident,0,PM Peak
2026-02-14,Bus,Q10,Manhattan,846035,77.7,Police Activity,6,AM Peak
2026-02-14,LIRR,Hempstead,Manhattan,125689,80.0,Signal Problem,29,Midday
2026-02-14,LIRR,Long Beach,Manhattan,171376,74.1,No Incident,0,Midday
2026-02-14,LIRR,Long Beach,Westchester,190822,63.3,Signal Problem,32,AM Peak
2026-02-14,LIRR,Port Washington,Long Island,159703,70.1,Mechanical Issue,36,Midday
2026-02-14,Metro-North,Harlem,Westchester,137318,79.0,Weather,26,AM Peak
2026-02-14,Metro-North,New Haven,Manhattan,142306,76.8,Mechanical Issue,18,Midday
2026-02-15,Subway,L,Bronx,2800851,75.1,Staffing,10,Evening
2026-02-15,Subway,F,Brooklyn,2808300,80.7,Mechanical Issue,10,PM Peak
2026-02-15,Subway,4,Long Island,2282025,76.1,Crowding,16,PM Peak
2026-02-15,Bus,B44,Bronx,710533,78.4,No Incident,0,Midday
2026-02-15,Bus,S79,Brooklyn,924645,74.4,Track Work,34,Evening
2026-02-15,Bus,S79,Westchester,664370,77.7,Weather,21,PM Peak
2026-02-15,Bus,Bx12,Manhattan,729853,76.5,Staffing,21,AM Peak
2026-02-15,LIRR,Ronkonkoma,Queens,190086,75.9,Track Work,19,PM Peak
2026-02-15,LIRR,Hempstead,Staten Island,150542,74.0,No Incident,0,PM Peak
2026-02-15,LIRR,Babylon,Bronx,132516,81.0,Track Work,36,Midday
2026-02-15,Metro-North,Harlem,Queens,133087,72.9,No Incident,0,AM Peak
2026-02-15,Metro-North,Hudson,Staten Island,132755,71.5,No Incident,0,Evening
2026-02-15,Metro-North,Harlem,Queens,141738,78.7,Staffing,40,AM Peak
2026-02-15,Metro-North,Hudson,Staten Island,135069,77.1,Track Work,11,Midday
2026-02-16,Subway,Q,Westchester,4031970,70.7,No Incident,0,AM Peak
2026-02-16,Subway,4,Westchester,3732709,77.5,Mechanical Issue,18,AM Peak
2026-02-16,Subway,N,Queens,3762830,75.8,Crowding,12,AM Peak
2026-02-16,Subway,A,Long Island,3248439,79.0,No Incident,0,AM Peak
2026-02-16,Bus,Q10,Bronx,1355625,72.1,Signal Problem,24,AM Peak
2026-02-16,Bus,B44,Westchester,1538773,74.9,Mechanical Issue,12,Midday
2026-02-16,LIRR,Babylon,Westchester,277086,80.7,No Incident,0,PM Peak
2026-02-16,LIRR,Babylon,Staten Island,263828,72.7,Staffing,28,Evening
2026-02-16,Metro-North,Harlem,Staten Island,213188,73.0,Track Work,3,AM Peak
2026-02-16,Metro-North,New Haven,Westchester,238595,81.3,No Incident,0,PM Peak
2026-02-16,Metro-North,Hudson,Staten Island,252169,75.6,Mechanical Issue,9,PM Peak
2026-02-16,Metro-North,Hudson,Brooklyn,254565,84.3,Staffing,6,PM Peak
2026-02-17,Subway,L,Queens,3907665,79.4,Crowding,7,PM Peak
2026-02-17,Subway,2,Long Island,3685853,75.9,Weather,3,AM Peak
2026-02-17,Subway,R,Long Island,3996543,75.9,Track Work,24,PM Peak
2026-02-17,Subway,L,Brooklyn,4027481,85.8,Signal Problem,3,AM Peak
2026-02-17,Bus,B46,Brooklyn,1394412,70.3,Mechanical Issue,23,AM Peak
2026-02-17,Bus,M15,Staten Island,1581978,75.2,Mechanical Issue,28,Midday
2026-02-17,LIRR,Hempstead,Westchester,213853,77.1,Signal Problem,3,PM Peak
2026-02-17,LIRR,Long Beach,Queens,289789,76.6,Signal Problem,17,AM Peak
2026-02-17,Metro-North,New Haven,Brooklyn,239692,72.4,No Incident,0,Midday
2026-02-17,Metro-North,Harlem,Brooklyn,187859,74.2,Crowding,34,PM Peak
2026-02-17,Metro-North,Harlem,Manhattan,225847,77.5,Weather,21,Midday
2026-02-17,Metro-North,Harlem,Long Island,240283,75.0,No Incident,0,Evening
2026-02-18,Subway,4,Queens,3609875,81.5,No Incident,0,Midday
2026-02-18,Subway,L,Bronx,3702532,81.8,Crowding,11,AM Peak
2026-02-18,Subway,R,Westchester,3360720,79.1,Mechanical Issue,7,PM Peak
2026-02-18,Subway,6,Brooklyn,3625355,80.5,No Incident,0,PM Peak
2026-02-18,Bus,Q10,Long Island,1408488,74.8,Crowding,7,Midday
2026-02-18,Bus,B46,Westchester,1416382,76.5,Track Work,13,Midday
2026-02-18,LIRR,Long Beach,Staten Island,257151,73.4,Staffing,15,PM Peak
2026-02-18,LIRR,Long Beach,Staten Island,297240,71.2,Police Activity,30,AM Peak
2026-02-18,LIRR,Long Beach,Staten Island,245995,70.7,No Incident,0,Midday
2026-02-18,Metro-North,Hudson,Brooklyn,225993,70.8,No Incident,0,AM Peak
2026-02-18,Metro-North,Hudson,Queens,248818,85.9,No Incident,0,PM Peak
2026-02-18,Metro-North,Harlem,Bronx,225334,67.5,Police Activity,37,PM Peak
2026-02-18,Metro-North,New Haven,Brooklyn,264092,76.8,Mechanical Issue,7,Midday
2026-02-19,Subway,Q,Brooklyn,3468471,68.8,Weather,33,AM Peak
2026-02-19,Subway,5,Manhattan,3689394,72.7,Crowding,3,PM Peak
2026-02-19,Subway,1,Westchester,3416899,75.1,No Incident,0,Midday
2026-02-19,Bus,Q60,Brooklyn,1668739,71.8,No Incident,0,AM Peak
2026-02-19,Bus,Q60,Westchester,1480670,75.0,Crowding,3,PM Peak
2026-02-19,Bus,Q10,Long Island,1394615,85.9,Mechanical Issue,18,AM Peak
2026-02-19,Bus,M15,Westchester,1284706,73.1,Mechanical Issue,41,AM Peak
2026-02-19,LIRR,Port Washington,Queens,243416,73.0,Staffing,10,AM Peak
2026-02-19,LIRR,Babylon,Queens,237606,74.0,Signal Problem,19,Evening
2026-02-19,Metro-North,New Haven,Bronx,212630,67.7,Staffing,33,Midday
2026-02-19,Metro-North,Harlem,Brooklyn,239872,76.0,No Incident,0,Evening
2026-02-19,Metro-North,Harlem,Manhattan,226007,77.4,Signal Problem,22,Evening
2026-02-20,Subway,E,Westchester,3932408,72.4,No Incident,0,AM Peak
2026-02-20,Subway,L,Manhattan,3830279,77.6,Police Activity,6,AM Peak
2026-02-20,Subway,F,Manhattan,3843975,70.3,No Incident,0,Midday
2026-02-20,Bus,B44,Westchester,1467030,80.3,No Incident,0,AM Peak
2026-02-20,Bus,M15,Queens,1433450,67.4,Track Work,41,AM Peak
2026-02-20,LIRR,Port Washington,Brooklyn,268319,71.8,Signal Problem,32,AM Peak
2026-02-20,LIRR,Hempstead,Staten Island,277613,74.8,Track Work,32,AM Peak
2026-02-20,Metro-North,Harlem,Staten Island,236518,85.4,No Incident,0,PM Peak
2026-02-20,Metro-North,Harlem,Manhattan,216202,79.8,Crowding,24,PM Peak
2026-02-21,Subway,6,Brooklyn,2085082,82.0,Police Activity,16,AM Peak
2026-02-21,Subway,F,Queens,2327756,75.5,Signal Problem,44,AM Peak
2026-02-21,Bus,S79,Manhattan,875283,84.2,Crowding,35,PM Peak
2026-02-21,Bus,M15,Brooklyn,807985,57.8,Crowding,39,Evening
2026-02-21,Bus,B46,Brooklyn,994471,75.8,Staffing,20,PM Peak
2026-02-21,LIRR,Babylon,Westchester,162004,82.0,Signal Problem,12,PM Peak
2026-02-21,LIRR,Long Beach,Brooklyn,160377,71.3,Crowding,4,AM Peak
2026-02-21,LIRR,Port Washington,Long Island,120833,78.2,No Incident,0,AM Peak
2026-02-21,LIRR,Hempstead,Staten Island,148793,75.1,Signal Problem,7,PM Peak
2026-02-21,Metro-North,New Haven,Queens,120325,81.5,Track Work,40,AM Peak
2026-02-21,Metro-North,Hudson,Staten Island,123756,82.5,Staffing,31,PM Peak
2026-02-21,Metro-North,New Haven,Westchester,153478,77.2,Crowding,23,Midday
2026-02-21,Metro-North,Harlem,Brooklyn,145293,70.7,No Incident,0,Evening
2026-02-22,Subway,C,Manhattan,2533654,71.5,No Incident,0,Evening
2026-02-22,Subway,4,Bronx,2667283,80.7,Track Work,3,Evening
2026-02-22,Subway,J,Manhattan,2273752,70.4,Track Work,38,PM Peak
2026-02-22,Subway,R,Bronx,2292724,77.0,No Incident,0,AM Peak
2026-02-22,Bus,Q60,Manhattan,905460,76.3,Signal Problem,16,PM Peak
2026-02-22,Bus,Q10,Westchester,847475,85.5,Mechanical Issue,12,Evening
2026-02-22,LIRR,Ronkonkoma,Manhattan,151461,69.6,No Incident,0,Evening
2026-02-22,LIRR,Hempstead,Westchester,155883,72.6,Signal Problem,39,AM Peak
2026-02-22,LIRR,Hempstead,Long Island,166290,68.3,Mechanical Issue,5,AM Peak
2026-02-22,LIRR,Ronkonkoma,Brooklyn,158149,82.3,Weather,23,AM Peak
2026-02-22,Metro-North,New Haven,Westchester,136116,82.0,Weather,10,PM Peak
2026-02-22,Metro-North,Hudson,Long Island,147815,79.1,No Incident,0,PM Peak
2026-02-22,Metro-North,New Haven,Long Island,128127,79.1,No Incident,0,PM Peak
2026-02-22,Metro-North,New Haven,Staten Island,104303,84.1,Police Activity,17,Evening
2026-02-23,Subway,6,Long Island,3904508,79.9,Track Work,6,Midday
2026-02-23,Subway,Q,Westchester,3878130,75.9,Signal Problem,29,AM Peak
2026-02-23,Bus,M15,Manhattan,1602849,71.3,Track Work,3,Evening
2026-02-23,Bus,Q10,Westchester,1460693,71.4,No Incident,0,Midday
2026-02-23,Bus,M15,Staten Island,1329687,78.7,Crowding,5,AM Peak
2026-02-23,LIRR,Babylon,Staten Island,249377,75.3,Crowding,13,Midday
2026-02-23,LIRR,Ronkonkoma,Manhattan,242304,78.2,No Incident,0,PM Peak
2026-02-23,LIRR,Port Washington,Manhattan,274140,75.4,No Incident,0,AM Peak
2026-02-23,Metro-North,Harlem,Queens,261651,74.1,Mechanical Issue,17,AM Peak
2026-02-23,Metro-North,Harlem,Staten Island,250797,80.5,Crowding,9,Midday
2026-02-23,Metro-North,Hudson,Bronx,232591,78.3,Track Work,5,PM Peak
2026-02-23,Metro-North,New Haven,Staten Island,256990,74.2,Signal Problem,13,AM Peak
2026-02-24,Subway,1,Staten Island,3379679,85.3,Signal Problem,15,Evening
2026-02-24,Subway,4,Westchester,3876531,82.3,Crowding,12,PM Peak
2026-02-24,Subway,Q,Queens,4057218,82.2,No Incident,0,Midday
2026-02-24,Bus,B44,Long Island,1541828,74.0,Signal Problem,36,AM Peak
2026-02-24,Bus,M15,Westchester,1374160,72.6,Police Activity,4,PM Peak
2026-02-24,Bus,S79,Westchester,1396116,90.4,No Incident,0,AM Peak
2026-02-24,LIRR,Babylon,Staten Island,218334,74.8,Weather,30,AM Peak
2026-02-24,LIRR,Ronkonkoma,Westchester,235522,79.1,No Incident,0,PM Peak
2026-02-24,LIRR,Babylon,Westchester,258914,74.4,Signal Problem,4,Evening
2026-02-24,Metro-North,New Haven,Brooklyn,213004,70.5,Track Work,9,AM Peak
2026-02-24,Metro-North,Hudson,Bronx,240964,81.8,No Incident,0,AM Peak
2026-02-24,Metro-North,Harlem,Bronx,215610,81.6,Signal Problem,16,Evening
2026-02-25,Subway,3,Staten Island,3856771,77.5,No Incident,0,AM Peak
2026-02-25,Subway,2,Westchester,3818316,77.6,Crowding,8,AM Peak
2026-02-25,Subway,J,Staten Island,3382432,72.0,Weather,15,Midday
2026-02-25,Bus,B44,Queens,1492983,76.5,Track Work,12,AM Peak
2026-02-25,Bus,M15,Manhattan,1253788,73.4,Signal Problem,21,AM Peak
2026-02-25,Bus,B46,Staten Island,1511829,78.4,No Incident,0,PM Peak
2026-02-25,LIRR,Hempstead,Brooklyn,242254,83.8,No Incident,0,Evening
2026-02-25,LIRR,Hempstead,Manhattan,261579,75.3,Police Activity,10,Evening
2026-02-25,LIRR,Babylon,Manhattan,285978,78.2,Staffing,17,AM Peak
2026-02-25,LIRR,Long Beach,Bronx,218174,76.6,Weather,15,PM Peak
2026-02-25,Metro-North,New Haven,Manhattan,226680,76.1,Signal Problem,39,AM Peak
2026-02-25,Metro-North,Hudson,Long Island,212574,77.0,Staffing,12,AM Peak
2026-02-26,Subway,F,Queens,3994919,86.7,Track Work,3,Midday
2026-02-26,Subway,F,Queens,3199550,73.4,Crowding,31,AM Peak
2026-02-26,Subway,R,Staten Island,3526671,69.6,Police Activity,25,PM Peak
2026-02-26,Subway,N,Bronx,3268964,73.4,No Incident,0,Midday
2026-02-26,Bus,Q10,Westchester,1597756,70.0,Weather,44,Midday
2026-02-26,Bus,B44,Queens,1443356,67.1,Track Work,5,PM Peak
2026-02-26,Bus,B46,Brooklyn,1600672,79.7,Signal Problem,15,Evening
2026-02-26,Bus,B44,Long Island,1725395,76.1,No Incident,0,PM Peak
2026-02-26,LIRR,Long Beach,Bronx,246401,71.0,Weather,18,AM Peak
2026-02-26,LIRR,Ronkonkoma,Manhattan,258213,72.0,Signal Problem,16,PM Peak
2026-02-26,LIRR,Hempstead,Long Island,240981,79.3,Track Work,16,Midday
2026-02-26,LIRR,Ronkonkoma,Queens,237528,80.7,No Incident,0,PM Peak
2026-02-26,Metro-North,New Haven,Manhattan,222661,78.0,Signal Problem,9,AM Peak
2026-02-26,Metro-North,Harlem,Long Island,266337,79.2,No Incident,0,PM Peak
2026-02-26,Metro-North,New Haven,Bronx,216948,76.4,Signal Problem,4,Evening
2026-02-26,Metro-North,Hudson,Brooklyn,237081,68.8,Track Work,25,PM Peak
2026-02-27,Subway,6,Manhattan,3556887,79.8,Track Work,25,Evening
2026-02-27,Subway,E,Manhattan,3601466,72.1,Weather,7,Evening
2026-02-27,Subway,L,Long Island,4060816,68.4,Track Work,30,PM Peak
2026-02-27,Bus,S79,Westchester,1397249,69.4,Police Activity,7,Evening
2026-02-27,Bus,S79,Brooklyn,1351077,88.3,No Incident,0,Midday
2026-02-27,Bus,Bx12,Bronx,1354584,77.7,No Incident,0,Midday
2026-02-27,Bus,Q60,Westchester,1303510,80.4,Crowding,6,Midday
2026-02-27,LIRR,Ronkonkoma,Manhattan,261055,83.1,Weather,10,PM Peak
2026-02-27,LIRR,Port Washington,Brooklyn,230748,73.4,Crowding,12,PM Peak
2026-02-27,LIRR,Babylon,Staten Island,256648,70.1,Track Work,5,Midday
2026-02-27,LIRR,Port Washington,Manhattan,240430,90.2,Signal Problem,18,PM Peak
2026-02-27,Metro-North,Harlem,Long Island,215348,75.8,Signal Problem,11,Midday
2026-02-27,Metro-North,Harlem,Brooklyn,222430,74.2,Signal Problem,11,Midday
2026-02-27,Metro-North,Harlem,Manhattan,233807,77.5,No Incident,0,AM Peak
2026-02-28,Subway,R,Long Island,2305207,68.3,Crowding,5,Evening
2026-02-28,Subway,2,Manhattan,1566914,74.3,Crowding,50,PM Peak
2026-02-28,Subway,C,Bronx,1860690,80.0,Signal Problem,11,AM Peak
2026-02-28,Subway,1,Staten Island,2740495,70.8,Police Activity,22,AM Peak
2026-02-28,Bus,S79,Long Island,874016,79.3,No Incident,0,PM Peak
